timestamp,node_id,gateway_id,frequency_MHz,RSSI_dBm,SNR_dB,packet_size_bytes,transmission_status,payload_crc
2025-06-01 00:00:00,Node-C,GW-2,865.7,-89.13198905781611,4.915729059775933,32,Success,True
2025-06-01 00:01:00,Node-D,GW-3,865.1,-82.82180579025248,4.33962895913009,32,Success,True
2025-06-01 00:02:00,Node-A,GW-1,865.1,-71.3468309797962,3.2186140332310265,32,Success,True
2025-06-01 00:03:00,Node-C,GW-1,865.1,-72.35903921503726,2.102727753181222,64,Success,True
2025-06-01 00:04:00,Node-C,GW-1,865.3,-72.26892793304762,7.435820985185875,128,Success,True
2025-06-01 00:05:00,Node-D,GW-1,865.7,-91.55179751140432,9.013493062898352,128,Success,True
2025-06-01 00:06:00,Node-A,GW-1,865.1,-82.3658035072914,9.448144382517246,20,Success,True
2025-06-01 00:07:00,Node-A,GW-1,865.7,-83.96393835047805,3.556779327846547,64,Success,True
2025-06-01 00:08:00,Node-C,GW-1,865.3,-75.74821157725299,7.561174016771832,128,Success,True
2025-06-01 00:09:00,Node-B,GW-2,865.1,-76.64342010351102,5.708977708183326,64,Fail,True
2025-06-01 00:10:00,Node-C,GW-3,865.5,-78.44572669257063,3.287985954160024,20,Fail,True
2025-06-01 00:11:00,Node-C,GW-1,865.3,-55.34266044580071,7.202654656124588,20,Fail,True
2025-06-01 00:12:00,Node-C,GW-2,865.5,-82.90806080144037,3.150184837863509,20,Success,True
2025-06-01 00:13:00,Node-C,GW-2,865.7,-84.07823086068544,3.8714701916549346,32,Success,True
2025-06-01 00:14:00,Node-D,GW-3,865.7,-91.56749670336056,0.8698108924891104,64,Success,True
2025-06-01 00:15:00,Node-A,GW-1,865.3,-95.37847325928871,3.6073367077003224,20,Fail,True
2025-06-01 00:16:00,Node-D,GW-3,865.7,-92.20317377215775,5.761583627043755,64,Success,False
2025-06-01 00:17:00,Node-D,GW-1,865.5,-87.1868192544328,9.706803487032486,32,Success,True
2025-06-01 00:18:00,Node-D,GW-2,865.1,-66.89926905562147,3.93951366139494,32,Success,True
2025-06-01 00:19:00,Node-C,GW-2,865.1,-79.60836095638142,1.8854925587391982,20,Success,True
2025-06-01 00:20:00,Node-B,GW-2,865.1,-78.06669333047266,9.492106912802374,20,Success,True
2025-06-01 00:21:00,Node-A,GW-2,865.3,-80.96273308202096,3.4863426887473468,128,Success,False
2025-06-01 00:22:00,Node-B,GW-3,865.7,-76.34699006978211,-0.24514496842259526,64,Success,True
